Cycle No.	Current
Cycle	A
462	1.21185302734375E-4
463	9.002685546875E-6
463	1.21002197265625E-4
464	8.66699218750003E-6
464	1.20880126953125E-4
465	8.78906250000006E-6
465	1.20849609375E-4
466	8.81958007812503E-6
466	1.2066650390625E-4
467	8.81958007812503E-6
467	1.20574951171875E-4
468	8.85009765625E-6
468	1.20361328125E-4
469	8.697509765625E-6
469	1.2017822265625E-4
470	8.60595703124994E-6
470	1.20208740234375E-4
471	8.78906250000006E-6
471	1.2005615234375E-4
472	8.697509765625E-6
472	1.19964599609375E-4
473	8.85009765625E-6
473	1.1981201171875E-4
474	8.544921875E-6
474	1.19537353515625E-4
475	8.63647460937506E-6
475	1.19293212890625E-4
476	8.63647460937506E-6
476	1.192626953125E-4
477	8.75854492187495E-6
477	1.19384765625E-4
478	8.78906250000006E-6
478	1.19354248046875E-4
479	8.78906250000006E-6
479	1.19171142578125E-4
480	8.60595703124994E-6
480	1.187744140625E-4
481	8.48388671875005E-6
481	1.185302734375E-4
482	8.392333984375E-6
482	1.18560791015625E-4
483	8.392333984375E-6
483	1.1846923828125E-4
484	8.57543945312497E-6
484	1.1846923828125E-4
485	8.544921875E-6
485	1.18377685546875E-4
486	8.60595703124994E-6
486	1.1834716796875E-4
487	8.72802734374997E-6
487	1.1822509765625E-4
488	8.57543945312497E-6
488	1.180419921875E-4
489	8.57543945312497E-6
489	1.180419921875E-4
490	8.697509765625E-6
490	1.18011474609375E-4
491	8.75854492187495E-6
491	1.17919921875E-4
492	8.66699218750003E-6
492	1.17706298828125E-4
493	8.697509765625E-6
493	1.17584228515625E-4
494	8.75854492187495E-6
494	1.17462158203125E-4
495	8.697509765625E-6
495	1.17401123046875E-4
496	8.697509765625E-6
496	1.173095703125E-4
497	8.75854492187495E-6
497	1.17218017578125E-4
498	8.66699218750003E-6
498	1.168212890625E-4
499	8.36181640625003E-6
499	1.1688232421875E-4
500	8.45336914062494E-6
500	1.16668701171875E-4
501	7.90405273437503E-6
501	1.05438232421875E-4
502	8.72802734374997E-6
502	1.1053466796875E-4
503	8.697509765625E-6
503	1.134033203125E-4
504	8.57543945312497E-6
504	1.1480712890625E-4
505	8.88061523437497E-6
505	1.15570068359375E-4
506	8.697509765625E-6
506	1.158447265625E-4
507	8.697509765625E-6
507	1.1602783203125E-4
508	8.63647460937506E-6
508	1.1602783203125E-4
509	8.78906250000006E-6
509	1.16119384765625E-4
510	8.72802734374997E-6
510	1.16058349609375E-4
511	8.72802734374997E-6
511	1.15966796875E-4
512	8.78906250000006E-6
512	1.15814208984375E-4
513	8.72802734374997E-6
513	1.1572265625E-4
514	8.63647460937506E-6
514	1.1566162109375E-4
515	8.72802734374997E-6
515	1.1572265625E-4
516	8.66699218750003E-6
516	1.15570068359375E-4
517	8.75854492187495E-6
517	1.15631103515625E-4
518	8.66699218750003E-6
518	1.153564453125E-4
519	8.66699218750003E-6
519	1.15203857421875E-4
520	8.697509765625E-6
520	1.15325927734375E-4
521	8.697509765625E-6
521	1.15264892578125E-4
522	8.60595703124994E-6
522	1.14959716796875E-4
523	8.544921875E-6
523	1.1505126953125E-4
524	8.697509765625E-6
524	1.1456298828125E-4
525	8.60595703124994E-6
525	1.14471435546875E-4
526	8.544921875E-6
526	1.14532470703125E-4
527	8.72802734374997E-6
527	1.14501953125E-4
528	8.75854492187495E-6
528	1.1431884765625E-4
529	8.85009765625E-6
529	1.14288330078125E-4
530	8.75854492187495E-6
530	1.1431884765625E-4
531	8.94165039062506E-6
531	1.1407470703125E-4
532	8.51440429687503E-6
532	1.138916015625E-4
533	8.78906250000006E-6
533	1.1407470703125E-4
534	8.72802734374997E-6
534	1.13800048828125E-4
535	8.75854492187495E-6
535	1.1358642578125E-4
536	8.544921875E-6
536	1.1346435546875E-4
537	8.63647460937506E-6
537	1.1334228515625E-4
538	8.60595703124994E-6
538	1.13433837890625E-4
539	8.63647460937506E-6
539	1.1334228515625E-4
540	8.85009765625E-6
540	1.1328125E-4
541	8.75854492187495E-6
541	1.12884521484375E-4
542	8.66699218750003E-6
542	1.12945556640625E-4
543	8.63647460937506E-6
543	1.13006591796875E-4
544	8.75854492187495E-6
544	1.129150390625E-4
545	8.85009765625E-6
545	1.12945556640625E-4
546	8.75854492187495E-6
546	1.12701416015625E-4
547	9.002685546875E-6
547	1.1260986328125E-4
548	8.72802734374997E-6
