Voltage	Current	Scan No.
V	A	Scan
-0.224609375	-3.40240478515625E-6	1
-0.22705078125	-3.7628173828125E-6	1
-0.2294921875	-3.43994140625E-6	1
-0.23193359375	-3.658447265625E-6	1
-0.234375	-3.699951171875E-6	1
-0.23681640625	-3.65386962890625E-6	1
-0.2392578125	-3.58154296875E-6	1
-0.24169921875	-4.05792236328125E-6	1
-0.244140625	-3.89617919921875E-6	1
-0.24658203125	-3.89923095703125E-6	1
-0.2490234375	-3.8226318359375E-6	1
-0.25146484375	-3.84033203125E-6	1
-0.25390625	-4.166259765625E-6	1
-0.25634765625	-4.05914306640625E-6	1
-0.2587890625	-3.917236328125E-6	1
-0.26123046875	-3.870849609375E-6	1
-0.263671875	-4.04541015625E-6	1
-0.26611328125	-3.880615234375E-6	1
-0.2685546875	-3.84490966796875E-6	1
-0.27099609375	-4.261474609375E-6	1
-0.2734375	-4.26605224609375E-6	1
-0.27587890625	-4.05059814453125E-6	1
-0.2783203125	-4.1107177734375E-6	1
-0.28076171875	-4.3707275390625E-6	1
-0.283203125	-4.38140869140625E-6	1
-0.28564453125	-4.119873046875E-6	1
-0.2880859375	-4.1729736328125E-6	1
-0.29052734375	-4.5562744140625E-6	1
-0.29296875	-4.24835205078125E-6	1
-0.29541015625	-4.25323486328125E-6	1
-0.2978515625	-4.36920166015625E-6	1
-0.30029296875	-4.72320556640625E-6	1
-0.302734375	-4.64630126953125E-6	1
-0.30517578125	-4.5159912109375E-6	1
-0.3076171875	-4.61944580078125E-6	1
-0.31005859375	-4.765625E-6	1
-0.3125	-4.44244384765625E-6	1
-0.31494140625	-4.5684814453125E-6	1
-0.3173828125	-4.9053955078125E-6	1
-0.31982421875	-4.76226806640625E-6	1
-0.322265625	-4.67254638671875E-6	1
-0.32470703125	-4.68048095703125E-6	1
-0.3271484375	-4.927978515625E-6	1
-0.32958984375	-5.07080078125E-6	1
-0.33203125	-5.04547119140625E-6	1
-0.33447265625	-5.01129150390625E-6	1
-0.3369140625	-5.2490234375E-6	1
-0.33935546875	-5.0323486328125E-6	1
-0.341796875	-4.97589111328125E-6	1
-0.34423828125	-5.1654052734375E-6	1
-0.3466796875	-5.4400634765625E-6	1
-0.34912109375	-5.08514404296875E-6	1
-0.3515625	-4.91058349609375E-6	1
-0.35400390625	-5.19866943359375E-6	1
-0.3564453125	-5.30426025390625E-6	1
-0.35888671875	-5.24505615234375E-6	1
-0.361328125	-5.111083984375E-6	1
-0.36376953125	-5.450439453125E-6	1
-0.3662109375	-5.29449462890625E-6	1
-0.36865234375	-5.49774169921875E-6	1
-0.37109375	-5.382080078125E-6	1
-0.37353515625	-5.5657958984375E-6	1
-0.3759765625	-5.4827880859375E-6	1
-0.37841796875	-5.2813720703125E-6	1
-0.380859375	-5.59417724609375E-6	1
-0.38330078125	-5.81817626953125E-6	1
-0.3857421875	-5.3631591796875E-6	1
-0.38818359375	-5.445556640625E-6	1
-0.390625	-5.78399658203125E-6	1
-0.39306640625	-5.83099365234375E-6	1
-0.3955078125	-5.59783935546875E-6	1
-0.39794921875	-5.8514404296875E-6	1
-0.400390625	-5.869140625E-6	1
-0.40283203125	-5.69610595703125E-6	1
-0.4052734375	-5.7476806640625E-6	1
-0.40771484375	-5.94482421875E-6	1
-0.41015625	-5.8795166015625E-6	1
